image,segment,area,perimeter,roundness,length,width,len_wid_ratio,laplacian,edge,cut-off,single,multi,blurred
0,0,43880,"1161,47727214753","0,408747445090601","509,184097419869","112,127980253531","4,54109755895506","0,00915383007688188","0,024635354606379",0,1,0,0
0,1,39764,"1065,34523779156","0,44027009910431","442,18409480541","115,579474940975","3,82580120762124","0,00910576888550768","0,0229408244755624",0,0,0,1
0,2,47028,"1149,83766184074","0,446985376085951","493,546935717911","124,489300387828","3,96457313343668","0,0105177712870495","0,0297205719952264",0,1,0,0
0,3,45219,"1078,65894629055","0,488385226557847","457,161609874302","127,137004120126","3,59581864491906","0,0102135909302726","0,0431117968459197",0,1,0,0
0,4,39604,"1176,1391770309","0,359775415034797","449,397710946989","126,953883440467","3,53985005238321","0,00796556971348929","0,0162119343973407",0,0,0,1
1,0,40510,"1337,2173875177","0,284687289306137","489,105842262346","122,023942956736","4,00827764134585","0,00835184167367682","0,0203785273193302",0,1,0,0
1,1,51910,"1081,45288552989","0,55775784234325","448,467610224254","149,079425632572","3,00824616355559","0,013388959179433","0,0494388716018682",0,1,0,0
1,2,42027,"1271,91082169365","0,326456206121967","535,799907247942","104,735294970434","5,11575307444538","0,00713828433643666","0,0155802423609273",0,1,0,0
1,3,39398,"1153,37676708414","0,372170239455339","490,091060480481","107,051772733028","4,57807514970067","0,00785119970417595","0,0226065300728693",0,1,0,0
1,4,55036,"1152,33008588991","0,520838313747426","468,430628869822","150,237328360735","3,11793769218974","0,00815278882829867","0,0298505568577638",0,1,0,0
2,0,46236,"1195,9869401394","0,406197498444969","467,542045571707","129,56729538332","3,60848811568152","0,0069244863685378","0,0304515392954937",0,1,0,0
2,1,47934,"1112,03152929258","0,487101350569985","413,704479236105","157,118362846285","2,63307529267505","0,0056062420084548","0,0244178650983626",1,0,0,0
2,2,255825,"4366,42171517481","0,16861705137449","1028,49629619337","426,287082623812","2,41268463933493","0,00521258427211322","0,026252001601841",0,0,1,0
2,3,105348,"1729,53318805774","0,442566318480455","502,482203094178","276,71811613429","1,81586305267532","0,00715567426936648","0,0324890951986986",0,0,1,0
2,4,97460,"2154,05295731739","0,263951125778565","588,153128644467","342,848070675558","1,71549201804039","0,00370911201985729","0,015249536558392",0,0,0,1
2,5,40640,"1106,65598769772","0,417002143116432","475,639272063133","111,434015182024","4,26834904302956","0,00419553564930908","0,0167821185104177",0,1,0,0
2,6,30613,"989,663996924429","0,392771722107262","266,567676241868","183,216972641973","1,45492894243358","0,00639440201698668","0,0234880350616941",1,0,0,0
3,0,62839,"1288,56558390209","0,475582728192658","524,267908033044","154,381746873834","3,39591900369863","0,00662329273897749","0,0200369640799106",0,0,0,1
3,1,88946,"1844,60721446244","0,328494785822161","675,19619982515","185,926751017992","3,63151722992143","0,00724516536775597","0,0316005561860152",0,0,1,0
3,2,68301,"1175,99704140717","0,620618143746344","462,478957456645","188,998729276558","2,44699506301922","0,00602683056215661","0,0216800390199406",0,0,0,1
3,3,60583,"1063,21024484277","0,67347632576755","385,470757918701","201,701659784663","1,91109363368765","0,00587310043316271","0,0186969253239586",0,0,0,1
3,4,42497,"1135,42849891225","0,414236683042404","501,24949361883","110,126815052366","4,55156624097849","0,00756519511750208","0,0282286039675239",0,1,0,0
4,0,159548,"2577,64083579607","0,301756352695367","603,457632545576","410,512277696001","1,47001116734554","0,00799596389664244","0,0380476905569856",0,0,1,0
4,1,140811,"3226,06428407443","0,170020156878978","867,28328314137","361,461532218553","2,39937920314292","0,00459553115144235","0,0150033727796869",0,0,0,1
4,2,86423,"1950,99199077329","0,285317380992177","889,526761003903","136,393675075569","6,52175960880195","0,00899928311009281","0,0333562642677893",0,0,0,1
4,3,57048,"1207,30064863839","0,491834987244237","484,101380811778","152,617991237582","3,1719810809079","0,00689961548807132","0,0190885207965968",0,0,0,1
4,4,45242,"1179,05800795127","0,40896045456463","465,561038481854","127,099542385987","3,6629639237252","0,00778735330226683","0,030730569644979",0,1,0,0
4,5,56174,"1072,9087296526","0,61322472356545","417,524686676813","175,148229032586","2,38383618825591","0,00672327097784817","0,0235857291632162",0,0,0,1
5,0,40951,"1119,63665171396","0,410506616895887","489,315268312998","108,798469743846","4,49744623674429","0,00568390762269435","0,0162640487750361",0,0,0,1
5,1,44740,"1098,6000717875","0,465829081285844","466,092072244267","123,413347720824","3,77667473455647","0,00824143082804003","0,0360733437445445",0,1,0,0
5,2,45111,"1166,23968209429","0,416789423257169","498,391695890773","120,097736747668","4,14988416424467","0,00813192342624921","0,0242082493310919",0,1,0,0
5,3,46503,"1097,0437226014","0,485560065815318","455,364309289384","131,182599372424","3,47122492973794","0,0104786401015338","0,044650523860314",0,1,0,0
5,4,44911,"1213,43564158718","0,383291417763682","478,95915843405","134,535716268749","3,56008925895394","0,00950441054223022","0,0295544299168958",0,1,0,0
