network,subset_name,eval_subset,seed,optimizer,layers,accuracy,precision,recall,f1,precision_w,recall_w,f1_w,confusion_matrix
EfficientNetV2B0,all,all,2,AdamW,GlobalMaxPooling2D,0.591511936339523,0.589366515837104,0.586979843035402,0.586127744510978,0.590059651691732,0.591511936339523,0.588757233543523,
EfficientNetV2B0,all,microscope,2,AdamW,GlobalMaxPooling2D,0.594936708860759,0.595823293172691,0.595638928972262,0.594871794871795,0.596266585328656,0.594936708860759,0.594741966893866,
EfficientNetV2B0,all,phone,2,AdamW,GlobalMaxPooling2D,0.626262626262626,0.602459016393443,0.603530950305144,0.602926829268293,0.628332505381686,0.626262626262626,0.62723495113739,
EfficientNetV2B0,all,fresh,2,AdamW,GlobalMaxPooling2D,0.648809523809524,0.636764705882353,0.636144049187527,0.636430326816565,0.648056722689076,0.648809523809524,0.648410194874267,
EfficientNetV2B0,all,dried,2,AdamW,GlobalMaxPooling2D,0.528089887640449,0.527525252525253,0.52780612244898,0.526595744680851,0.532606968562025,0.528089887640449,0.529285202008128,
EfficientNetV2B0,all,comparison,2,AdamW,GlobalMaxPooling2D,0.607003891050584,0.603582841691249,0.602761858309962,0.602940051703303,0.605900326741121,0.607003891050584,0.606222383483799,
EfficientNetV2B0,all,all,4,AdamW,GlobalMaxPooling2D,0.631299734748011,0.630003450655625,0.627632544746203,0.627515371219391,0.630498395490899,0.631299734748011,0.629606730011523,
EfficientNetV2B0,all,microscope,4,AdamW,GlobalMaxPooling2D,0.670886075949367,0.670675004008337,0.670675004008337,0.670675004008337,0.670886075949367,0.670886075949367,0.670886075949367,
EfficientNetV2B0,all,phone,4,AdamW,GlobalMaxPooling2D,0.656565656565657,0.625,0.605928509154316,0.607509328358209,0.642536475869809,0.656565656565657,0.6425495627921,
EfficientNetV2B0,all,fresh,4,AdamW,GlobalMaxPooling2D,0.678571428571429,0.666615596751953,0.659200702678964,0.661239731142644,0.67441287837335,0.678571428571429,0.674922650165369,
EfficientNetV2B0,all,dried,4,AdamW,GlobalMaxPooling2D,0.640449438202247,0.638044579533941,0.639030612244898,0.638211382113821,0.642373325136892,0.640449438202247,0.64108888279894,
EfficientNetV2B0,all,comparison,4,AdamW,GlobalMaxPooling2D,0.665369649805447,0.663000248570718,0.659919522009511,0.660428957718781,0.664213844325092,0.665369649805447,0.663775878164587,
