network,subset_name,eval_subset,seed,optimizer,layers,accuracy,precision,recall,f1,precision_w,recall_w,f1_w
EfficientNetV2B0,all,all,2,AdamW,GlobalMaxPooling2D,0.5915119363395226,0.589366515837104,0.5869798430354017,0.586127744510978,0.5900596516917316,0.5915119363395226,0.5887572335435229
EfficientNetV2B0,all,microscope,2,AdamW,GlobalMaxPooling2D,0.5949367088607594,0.5958232931726908,0.5956389289722623,0.5948717948717949,0.5962665853286564,0.5949367088607594,0.5947419668938656
EfficientNetV2B0,all,phone,2,AdamW,GlobalMaxPooling2D,0.6262626262626263,0.6024590163934427,0.6035309503051438,0.6029268292682928,0.6283325053816857,0.6262626262626263,0.6272349511373903
EfficientNetV2B0,all,fresh,2,AdamW,GlobalMaxPooling2D,0.6488095238095238,0.6367647058823529,0.6361440491875274,0.6364303268165645,0.6480567226890757,0.6488095238095238,0.6484101948742671
EfficientNetV2B0,all,dried,2,AdamW,GlobalMaxPooling2D,0.5280898876404494,0.5275252525252525,0.5278061224489796,0.5265957446808511,0.5326069685620247,0.5280898876404494,0.5292852020081281
EfficientNetV2B0,all,comparison,2,AdamW,GlobalMaxPooling2D,0.6070038910505836,0.6035828416912488,0.6027618583099622,0.6029400517033026,0.6059003267411208,0.6070038910505836,0.6062223834837989
EfficientNetV2B0,all,all,4,AdamW,GlobalMaxPooling2D,0.6312997347480106,0.6300034506556245,0.627632544746203,0.6275153712193908,0.6304983954908991,0.6312997347480106,0.6296067300115228
EfficientNetV2B0,all,microscope,4,AdamW,GlobalMaxPooling2D,0.6708860759493671,0.6706750040083373,0.6706750040083373,0.6706750040083373,0.6708860759493671,0.6708860759493671,0.6708860759493671
EfficientNetV2B0,all,phone,4,AdamW,GlobalMaxPooling2D,0.6565656565656566,0.625,0.6059285091543156,0.6075093283582089,0.6425364758698092,0.6565656565656566,0.6425495627921002
EfficientNetV2B0,all,fresh,4,AdamW,GlobalMaxPooling2D,0.6785714285714286,0.6666155967519534,0.6592007026789635,0.6612397311426438,0.6744128783733503,0.6785714285714286,0.6749226501653686
EfficientNetV2B0,all,dried,4,AdamW,GlobalMaxPooling2D,0.6404494382022472,0.6380445795339412,0.6390306122448979,0.6382113821138211,0.6423733251368919,0.6404494382022472,0.6410888827989403
EfficientNetV2B0,all,comparison,4,AdamW,GlobalMaxPooling2D,0.6653696498054474,0.6630002485707184,0.6599195220095111,0.6604289577187807,0.6642138443250918,0.6653696498054474,0.6637758781645872
